p,q,column_id,p_mapped,q_mapped,x,y,z,dx,dy,dz,side
-18,-9,769,-19.6151375932054,-10.63934954208415,78.2227783203125,-241.8355712890625,-246.55126953125,0.49177323839203063,0.15772262108930427,-0.8563192493446208,right
-18,-8,794,-19.60180002936141,-9.574037372166098,90.25433349609375,-236.76690673828125,-237.60107421875,0.5493942846320353,0.16101287892925786,-0.819902904515264,right
-18,-7,307,-19.588462465517463,-8.508725202248122,101.33209228515625,-230.6944580078125,-227.7666015625,0.6023752036909277,0.17134651572184292,-0.7796053395970923,right
-17,-11,592,-18.566873544615177,-12.708270186984553,49.64208984375,-267.075439453125,-257.194091796875,0.4000321206022232,0.05395288490002034,-0.914911683550633,right
-17,-10,771,-18.55353598077123,-11.642958017066544,63.42529296875,-264.183349609375,-250.5469970703125,0.46578851230946205,0.043164699579528995,-0.8838426729405788,right
-17,-9,332,-18.540198416927275,-10.577645847148528,76.6650390625,-260.35107421875,-242.826416015625,0.5288426631273573,0.04040736991246942,-0.8477574429712318,right
-17,-8,710,-18.526860853083328,-9.51233367723052,89.2216796875,-255.58074951171875,-234.1546630859375,0.5880021604827034,0.04517710902333696,-0.8075967360557909,right
-17,-7,290,-18.513523289239377,-8.447021507312511,100.92269897460938,-249.82635498046875,-224.6654052734375,0.6422237985267323,0.05719309003768615,-0.7643804962568291,right
-17,-6,141,-18.500185725395426,-7.381709337394498,111.61941528320312,-243.0631103515625,-214.4554443359375,0.6908915942519273,0.07594260342614129,-0.718958639962613,right
-17,-5,505,-18.486848161551478,-6.316397167476489,121.11468505859375,-235.22265625,-203.644775390625,0.7333347623610604,0.10125656539592305,-0.6722850840804578,right
-17,-4,795,-18.473510597707524,-5.251084997558475,129.23162841796875,-226.24560546875,-192.3331298828125,0.769171199286541,0.13284376301877682,-0.6250825551998034,right
-16,-13,400,-17.518609496024993,-14.777190831884962,16.88623046875,-286.20849609375,-260.7923583984375,0.2767202714293686,-0.01275824028647551,-0.9608658172111489,right
-16,-12,726,-17.50527193218104,-13.711878661966947,31.517822265625,-285.6298828125,-256.73321533203125,0.3465367976520912,-0.04072802950664774,-0.937151788925113,right
-16,-11,180,-17.491934368337088,-12.646566492048938,45.930419921875,-284.007568359375,-251.347900390625,0.4164322601895648,-0.058788141491642285,-0.9072640889472972,right
-16,-10,471,-17.478596804493137,-11.581254322130926,60.003662109375,-281.414306640625,-244.80029296875,0.4848290461983775,-0.06825710617919227,-0.871941376136271,right
-16,-9,583,-17.46525924064919,-10.515942152212917,73.600830078125,-277.8682861328125,-237.2222900390625,0.5501876668466872,-0.06957512100869118,-0.8321375089409352,right
-16,-8,750,-17.451921676805235,-9.450629982294904,86.58795166015625,-273.383544921875,-228.7518310546875,0.6113556546742709,-0.06339270835844922,-0.7888127965650495,right
-16,-7,64,-17.438584112961287,-8.385317812376895,98.8118896484375,-267.9280700683594,-219.5062255859375,0.6673893306722395,-0.05014556957031151,-0.7430187771229804,right
-16,-6,686,-17.42524654911734,-7.320005642458886,110.13006591796875,-261.480712890625,-209.5958251953125,0.7177063432434461,-0.03004614030838518,-0.695697372656164,right
-16,-5,208,-17.411908985273385,-6.254693472540874,120.389892578125,-253.99951171875,-199.1236572265625,0.761836988824778,-0.003483357859265081,-0.6477594219125024,right
-16,-4,171,-17.398571421429434,-5.18938130262286,129.42193603515625,-245.4271240234375,-188.1910400390625,0.799497952752331,0.029317062176090012,-0.599952942663168,right
-16,-3,743,-17.385233857585483,-4.124069132704848,137.05047607421875,-235.70703125,-176.8934326171875,0.8304526005508424,0.06796516505394817,-0.5529278565758219,right
-16,-2,516,-17.371896293741536,-3.058756962786838,143.0821533203125,-224.7724609375,-165.3316650390625,0.8544787910491864,0.11203365156380819,-0.5072617239299648,right
-15,-14,62,-16.457007883590855,-15.780799306867356,-3.3251953125,-300.4140625,-256.37060546875,0.20041688407365002,-0.08079783521398114,-0.9763732802586026,right
-15,-13,667,-16.443670319746907,-14.715487136949347,11.54833984375,-301.421875,-253.69384765625,0.27205625250708143,-0.11949188212041059,-0.9548335381516115,right
-15,-12,664,-16.43033275590295,-13.650174967031333,26.37158203125,-301.24169921875,-249.55767822265625,0.34546586192752,-0.14689351616485585,-0.926863330352108,right
-15,-11,225,-16.416995192058998,-12.584862797113322,41.0068359375,-299.97412109375,-244.1539306640625,0.41868573100735196,-0.16410930293850132,-0.8931799344700252,right
-15,-10,173,-16.40365762821505,-11.519550627195313,55.326904296875,-297.685791015625,-237.63458251953125,0.49008825124794125,-0.17251083659943126,-0.8544316925562273,right
-15,-9,254,-16.3903200643711,-10.4542384572773,69.218505859375,-294.415771484375,-230.136962890625,0.5581634682321254,-0.17266924012053964,-0.8115656943509135,right
-15,-8,564,-16.37698250052715,-9.38892628735929,82.5513916015625,-290.19775390625,-221.79034423828125,0.6217278500132023,-0.16523549406830357,-0.7656054545377563,right
-15,-7,85,-16.363644936683198,-8.323614117441279,95.20050048828125,-285.0204162597656,-212.7164306640625,0.6799992622406628,-0.15078405390033822,-0.7175410597600211,right
-15,-6,95,-16.35030737283925,-7.25830194752327,107.03851318359375,-278.8675537109375,-203.02001953125,0.7323412648249954,-0.12969933139587017,-0.6684716562951567,right
-15,-5,256,-16.3369698089953,-6.192989777605257,117.92637634277344,-271.7098388671875,-192.804931640625,0.7784927916979352,-0.10220889725654071,-0.6192756370114662,right
-15,-4,773,-16.323632245151348,-5.127677607687244,127.72140502929688,-263.509033203125,-182.1641845703125,0.8183014700593011,-0.0686748093072128,-0.5706719501301993,right
-15,-3,285,-16.310294681307397,-4.062365437769234,136.26348876953125,-254.2056884765625,-171.19390869140625,0.8516033000602302,-0.029262072758871736,-0.523369420604968,right
-15,-2,341,-16.296957117463446,-2.9970532678512245,143.3897705078125,-243.7498779296875,-159.9835205078125,0.8783140086516699,0.015694001051109865,-0.4778265381257536,right
-15,-1,594,-16.283619553619495,-1.9317410979332121,148.9144287109375,-232.0751953125,-148.62744140625,0.8982531364902162,0.06578483673226723,-0.43452693592181135,right
-14,-14,72,-15.382068707312763,-15.719095611931744,-9.85302734375,-314.1162109375,-248.4678955078125,0.17908186397096995,-0.17876603338778352,-0.967456661201669,right
-14,-13,14,-15.368731143468814,-14.653783442013733,5.186279296875,-315.640625,-245.63037109375,0.25461511475561793,-0.21791927950344686,-0.9421689503261514,right
-14,-12,334,-15.355393579624867,-13.588471272095722,20.17919921875,-315.88623046875,-241.3875732421875,0.3317841291329725,-0.24534468049550098,-0.9108925729239621,right
-14,-11,406,-15.342056015780912,-12.523159102177708,34.994384765625,-314.975341796875,-235.91812133789062,0.408566756102492,-0.26230310449684974,-0.8742255356480966,right
-14,-10,111,-15.328718451936961,-11.457846932259697,49.52490234375,-312.993408203125,-229.37277221679688,0.4833046315060663,-0.2700609896929842,-0.832756684158603,right
-14,-9,610,-15.315380888093014,-10.392534762341688,63.6572265625,-310.0035400390625,-221.8951416015625,0.5544866422126066,-0.26935187420104667,-0.7873970608734658,right
-14,-8,128,-15.302043324249063,-9.327222592423675,77.2779541015625,-306.0408935546875,-213.61517333984375,0.6208851064604397,-0.2609246701089214,-0.7392022734706374,right
-14,-7,637,-15.288705760405112,-8.261910422505666,90.27957153320312,-301.1234588623047,-204.648193359375,0.6816791761075316,-0.2454474909519306,-0.6892525154446365,right
-14,-6,524,-15.27536819656116,-7.1965982525876555,102.54264831542969,-295.24395751953125,-195.09918212890625,0.7364046091669815,-0.22345006682730478,-0.6385752259777216,right
-14,-5,318,-15.262030632717211,-6.131286082669646,113.95088195800781,-288.3890380859375,-185.068603515625,0.7848210520527152,-0.19527067307343865,-0.5881541298778028,right
-14,-4,427,-15.248693068873262,-5.065973912751633,124.37419128417969,-280.520263671875,-174.64788818359375,0.826928423086514,-0.16121990308562292,-0.5386998477266478,right
